Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4873,0,5,31.372815935728994,2.3551880003651604,233.98562299917103,9927.22737533347,16.243889938639477,0.0,5,7,57,75,110,130,160,180,230,230,230
GET,/cart,10733,0,4,6.407134528756177,1.6188509980565868,178.99854899951606,12951.473399795024,35.7778926146968,0.0,4,5,6,6,7,10,41,72,120,180,180
POST,/cart,10728,0,6,9.006606609970225,2.9378030012594536,310.75884199890424,17590.001304996273,35.761225376918595,0.0,6,7,8,9,11,14,49,92,180,220,310
POST,/cart/checkout,3521,0,5,5.464372990631147,2.2601339987886604,132.5094799976796,6396.162737858563,11.7370688434126,0.0,5,5,6,6,8,10,14,19,70,130,130
GET,/imageservice/bamboo-glass-jar.jpg,3879,0,3,3.809680445222416,1.3415110006462783,115.54748200069298,75412.0,12.930443068332144,0.0,3,3,3,4,5,6,14,44,95,120,120
GET,/imageservice/candle-holder.jpg,3751,0,3,4.2305199643043325,1.48747999992338,174.91018100190558,89602.0,12.503761781210072,0.0,3,3,4,4,5,6,20,52,110,170,170
GET,/imageservice/hairdryer.jpg,3946,0,2,3.4736509566755096,1.2565840006573126,98.63388300072984,66076.0,13.153784054560102,0.0,2,3,3,3,4,6,12,40,84,99,99
GET,/imageservice/loafers.jpg,3983,0,3,4.703008263371147,1.7476379980507772,118.74844699923415,131516.0,13.277121614118826,0.0,3,4,4,5,6,8,17,50,89,120,120
GET,/imageservice/mug.jpg,3912,0,2,3.793248982901322,1.2721589991997462,102.42305100109661,62732.0,13.040446837668302,0.0,2,3,3,3,4,6,25,47,100,100,100
GET,/imageservice/salt-and-pepper-shakers.jpg,3874,0,3,4.577259773356621,1.6054410007200204,116.14413599818363,107881.0,12.913775830553938,0.0,3,4,4,4,5,7,29,51,110,120,120
GET,/imageservice/sunglasses.jpg,3869,0,2,3.655200036699156,1.237238000612706,133.97565700142877,65681.0,12.897108592775732,0.0,2,3,3,3,4,6,17,41,94,130,130
GET,/imageservice/tank-top.jpg,3997,0,4,5.416405059587142,1.9094599992968142,131.53952400170965,155767.0,13.323789879897802,0.0,4,4,5,5,6,9,35,56,110,130,130
GET,/imageservice/watch.jpg,3995,0,3,4.4437897757063425,1.4709269999002572,165.18667100172024,98510.0,13.31712298478652,0.0,3,3,4,4,5,7,23,52,110,170,170
GET,/product/0PUK6V6EV0,5058,0,4,6.0967508378783855,2.085669999360107,184.2270050001389,7527.5255041518385,16.860577736433097,0.0,4,5,5,6,7,9,37,69,160,180,180
GET,/product/1YMWWN1N4O,5206,0,4,6.161579180561089,1.9213330015190877,175.56633899948793,7578.5024971187095,17.35392797466799,0.0,4,5,5,6,7,9,45,63,150,180,180
GET,/product/2ZYFJ3GM2N,5173,0,4,5.975971036349551,2.141403001587605,171.57449200021802,7550.00985888266,17.243924205331833,0.0,4,5,5,6,7,10,33,62,110,170,170
GET,/product/66VCHSJNUP,5225,0,4,6.239116125152882,1.8305389967281371,167.5962650006113,7517.652248803828,17.417263478225173,0.0,4,5,5,6,7,10,48,72,140,170,170
GET,/product/6E92ZMYYFZ,5058,0,4,6.2886747900340625,2.0772190000570845,188.17233800291433,7527.688612099644,16.860577736433097,0.0,4,5,5,6,7,10,49,73,150,190,190
GET,/product/9SIQT8TOJO,5115,0,4,6.196091069418216,1.983212998311501,184.26129699946614,7572.237536656891,17.050584247104645,0.0,4,5,5,6,7,9,41,71,150,180,180
GET,/product/L9ECAV7KIM,4873,0,4,6.080101015986938,2.0971939993614797,189.1179900012503,7549.099938436281,16.243889938639477,0.0,4,5,5,6,7,9,44,69,160,190,190
GET,/product/LS4PSXUNUM,5025,0,4,6.160736265262868,2.188615999330068,175.02884100031224,7533.639601990049,16.750573967096937,0.0,4,5,5,6,7,10,44,70,110,180,180
GET,/product/OLJCESPC7Z,5201,0,4,6.2862699463512834,2.057593999779783,183.5998999995354,7579.580465295136,17.337260736889785,0.0,4,5,5,6,7,10,49,73,120,180,180
POST,/setCurrency,7064,0,6,8.971644672149473,3.294272999482928,337.83993199904216,9944.885475651188,23.547473533049306,0.0,6,7,7,8,10,13,70,120,220,340,340
,Aggregated,118059,0,4,7.058310875164098,1.237238000612706,337.83993199904216,35256.838648472374,393.54348497144224,0.0,4,5,6,6,8,12,64,94,170,230,340
