Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2883,0,4,26.547208413110177,2.6414689999683105,132.75450800006183,9926.57787027402,9.626623090222632,0.0,4,5,52,69,98,120,120,130,130,130,130
GET,/cart,6439,0,4,4.56689613449409,2.213551000068037,91.50187599993842,12944.985712067091,21.500459964600598,0.0,4,4,4,4,5,6,9,41,81,92,92
POST,/cart,6566,0,6,6.441575631282089,3.6726069999986066,123.52734799992504,17555.300335059397,21.924525567256953,0.0,6,6,6,6,7,8,19,38,74,120,120
POST,/cart/checkout,2139,0,6,6.0468781131371525,4.221629999960896,43.98245000004408,6396.399719495091,7.142333260487759,0.0,6,6,6,7,7,8,9,11,39,44,44
GET,/product/0PUK6V6EV0,3129,0,3,4.2479247043784545,2.455201999964629,95.9464410000237,7530.660594439118,10.448041501667227,0.0,3,4,4,4,4,5,7,41,69,96,96
GET,/product/1YMWWN1N4O,3063,0,3,4.73365073653155,2.4916590000430006,96.45991399997911,7578.093372510611,10.227660952255262,0.0,3,4,4,4,5,5,39,54,87,96,96
GET,/product/2ZYFJ3GM2N,2961,0,3,4.613581830462678,2.4952219999931913,88.99694700005512,7549.874366767984,9.887072830436772,0.0,3,4,4,4,5,5,32,47,87,89,89
GET,/product/66VCHSJNUP,3058,0,3,4.434816312948219,2.457856999967589,91.22781899998245,7519.077828646174,10.210965456087688,0.0,3,4,4,4,5,5,8,44,87,91,91
GET,/product/6E92ZMYYFZ,3098,0,3,4.669082647514431,2.5392920000513186,95.63054800003101,7528.340865074241,10.344529425428274,0.0,3,4,4,4,5,5,38,49,85,96,96
GET,/product/9SIQT8TOJO,3135,0,3,4.461368053907256,2.490262999913284,92.25951600001281,7574.695693779904,10.468076097068314,0.0,3,4,4,4,5,5,8,46,87,92,92
GET,/product/L9ECAV7KIM,3096,0,3,4.568978346576859,2.400655999963419,96.8080730000338,7550.46834625323,10.337851226961245,0.0,3,4,4,4,5,5,32,49,72,97,97
GET,/product/LS4PSXUNUM,3090,0,3,4.4847034210360075,2.5143579999848953,93.16479899996466,7533.627508090615,10.317816631560156,0.0,3,4,4,4,5,5,16,47,84,93,93
GET,/product/OLJCESPC7Z,3139,0,3,4.63239793277984,2.3065799999812953,95.25033199997779,7578.680471487735,10.481432494002373,0.0,3,4,4,4,5,5,32,50,82,95,95
POST,/setCurrency,4171,0,5,6.491394671302238,3.464130999986992,135.63427600001887,9945.893550707264,13.927382902989454,0.0,5,5,5,6,6,7,47,72,100,140,140
,Aggregated,49967,0,4,6.28927328722951,2.213551000068037,135.63427600001887,9847.362719394801,166.8447714010247,0.0,4,4,5,5,6,7,55,81,130,130,140
