Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1701724179,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701724180,100,,Aggregated,0.000000,0.000000,63,120,130,140,150,150,150,150,160,160,160,227,0,63,84.89963859903686,6.140224999398924,157.6004059970728,9317.97356828194
1701724181,200,,Aggregated,0.000000,0.000000,62,100,120,130,140,150,150,150,160,160,160,473,0,62,76.94696514176199,3.8990219982224517,157.6004059970728,9356.883720930233
1701724182,300,,Aggregated,0.000000,0.000000,65,100,120,130,150,150,170,170,180,180,180,716,0,64,76.99949070392802,3.7085649964865297,181.6984679971938,9321.604748603351
1701724183,400,,Aggregated,113.500000,0.000000,67,100,120,130,150,160,180,180,180,180,180,980,0,67,78.72701543477591,3.477181999187451,183.4172579983715,9275.905102040817
1701724184,500,,Aggregated,157.666667,0.000000,65,100,120,130,150,160,170,180,180,180,180,1257,0,65,77.15051751315004,3.3812190013122745,183.4172579983715,9260.500397772474
1701724185,600,,Aggregated,179.250000,0.000000,62,98,120,130,150,170,180,180,180,190,190,1548,0,62,75.15656025519795,3.3812190013122745,188.62880500091705,9250.416666666666
1701724186,700,,Aggregated,196.200000,0.000000,59,97,120,130,160,170,180,190,200,210,210,1863,0,59,74.99581702687004,3.3334480031044222,207.38353000342613,9231.795491143317
1701724187,750,,Aggregated,210.166667,0.000000,55,88,110,130,150,170,180,190,200,210,210,2097,0,55,69.74224241682455,3.2715689958422445,207.38353000342613,9210.064377682404
1701724188,750,,Aggregated,221.285714,0.000000,53,81,110,120,150,170,180,190,200,210,210,2233,0,53,65.7859189176362,3.1413850010721944,207.38353000342613,9185.44290192566
1701724189,750,,Aggregated,233.875000,0.000000,48,74,100,120,150,170,180,190,200,210,210,2388,0,48,61.82863404903288,3.1413850010721944,207.38353000342613,9178.297319932999
1701724190,750,,Aggregated,233.444444,0.000000,45,68,97,110,150,170,180,190,200,210,210,2534,0,45,58.544111807865825,3.1413850010721944,207.38353000342613,9158.921468034729
1701724191,750,,Aggregated,224.400000,0.000000,41,64,94,110,150,160,180,190,200,210,210,2686,0,41,55.501161766635214,3.1378930070786737,207.38353000342613,9142.497766195085
1701724192,750,,Aggregated,240.100000,0.000000,37,59,88,100,140,160,180,190,200,210,210,2862,0,37,52.387808586029976,2.9630810022354126,207.38353000342613,9124.851851851852
1701724193,750,,Aggregated,231.200000,0.000000,33,56,81,99,140,160,180,190,200,210,210,3036,0,32,49.65982351224717,2.9630810022354126,207.38353000342613,9118.554347826086
